epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,48.3494,0.41296,0.5148,0.84112,1,1,0.995,0.97246,0.31993,0.33443,0.79278,0.00010666,0.00010666,0.00010666
89,48.9238,0.42798,0.53823,0.84816,1,1,0.995,0.97246,0.31993,0.33443,0.79278,9.90472e-05,9.90472e-05,9.90472e-05
90,49.5166,0.36044,0.49521,0.83714,1,1,0.995,0.97246,0.31403,0.32812,0.79128,9.14341e-05,9.14341e-05,9.14341e-05
91,53.5587,0.3454,0.53094,0.81558,1,1,0.995,0.97246,0.31403,0.32812,0.79128,8.3821e-05,8.3821e-05,8.3821e-05
92,54.236,0.33941,0.50032,0.81187,1,1,0.995,0.97246,0.30594,0.32995,0.78975,7.62079e-05,7.62079e-05,7.62079e-05
93,54.7536,0.37059,0.54644,0.83796,1,1,0.995,0.97246,0.30594,0.32995,0.78975,6.85948e-05,6.85948e-05,6.85948e-05
94,55.2956,0.34874,0.50881,0.80812,1,1,0.995,0.97118,0.30191,0.33339,0.78779,6.09817e-05,6.09817e-05,6.09817e-05
95,55.7983,0.36002,0.49339,0.82585,1,1,0.995,0.97118,0.30191,0.33339,0.78779,5.33686e-05,5.33686e-05,5.33686e-05
96,56.3327,0.36453,0.51543,0.82161,1,1,0.995,0.97166,0.30111,0.33914,0.78759,4.57555e-05,4.57555e-05,4.57555e-05
97,56.8105,0.35531,0.49178,0.81526,1,1,0.995,0.97166,0.30111,0.33914,0.78759,3.81424e-05,3.81424e-05,3.81424e-05
98,57.3576,0.35729,0.50201,0.79204,1,1,0.995,0.9721,0.29973,0.34399,0.78658,3.05293e-05,3.05293e-05,3.05293e-05
99,57.9231,0.33337,0.49547,0.82273,1,1,0.995,0.9721,0.29973,0.34399,0.78658,2.29162e-05,2.29162e-05,2.29162e-05
100,58.4368,0.38231,0.51299,0.8002,1,1,0.995,0.97013,0.299,0.34637,0.78669,1.53031e-05,1.53031e-05,1.53031e-05
